Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Apr, 2003",98.57,99.13,99.52,100.14,101.06
"May, 2003",97.51,98.9,99.38,100.02,100.58
"Jun, 2003",98.6,99.07,99.32,99.47,100.24
"Jul, 2003",98.16,99.02,99.27,99.65,100.03
"Aug, 2003",98.98,99.22,99.49,99.92,100.67
"Sep, 2003",98.45,99.24,99.82,100.13,100.5
"Oct, 2003",97.84,98.9,99.57,99.85,100.09
"Nov, 2003",97.95,99.06,99.58,100.09,101.6
"Dec, 2003",98.1,98.96,99.53,100.01,101.17
"Jan, 2004",98.06,99.02,99.52,99.93,101.14
"Feb, 2004",97.79,99.23,100.16,100.72,101.32
"Mar, 2004",98.38,99.28,99.89,100.3,100.79
"Apr, 2004",98.29,98.96,99.53,99.91,100.44
"May, 2004",98.28,99.11,99.52,99.86,100.59
"Jun, 2004",98.1,99.34,99.6,99.69,100.34
"Jul, 2004",98.03,98.94,99.28,99.64,100.57
"Aug, 2004",98.82,99.34,99.51,99.69,100.43
"Sep, 2004",99.18,99.75,100.04,100.28,100.88
"Oct, 2004",97.3,99.2,99.78,100.16,100.63
"Nov, 2004",98.16,99.28,99.95,100.37,101.9
"Dec, 2004",97.78,98.96,99.41,100.16,101.43
"Jan, 2005",100.94,100.94,100.94,100.94,100.94
