Date,Minimum,First Quartile,Median,Third Quartile,Maximum
"Dec, 2002",0.0,0.0,0.0,0.8,7.9
"Jan, 2003",0.0,0.0,0.0,1.4,10.4
"Feb, 2003",0.0,0.0,0.0,0.75,14.8
"Mar, 2003",0.0,0.0,0.0,1.4,11.4
"Apr, 2003",0.0,0.0,0.0,1.1,19.8
"May, 2003",0.0,0.0,0.4,7.7,23.0
"Jun, 2003",0.0,0.0,0.0,0.8,18.0
"Jul, 2003",0.0,0.0,0.0,0.9,21.8
"Aug, 2003",0.0,0.0,0.0,0.6,28.8
"Sep, 2003",0.0,0.0,0.0,0.8,32.4
"Oct, 2003",0.0,0.0,0.0,1.3,16.6
"Nov, 2003",0.0,0.0,0.0,6.15,26.6
"Dec, 2003",0.0,0.0,0.0,1.3,16.4
"Jan, 2004",0.0,0.0,0.4,1.7,13.8
"Feb, 2004",0.0,0.0,0.0,0.2,6.6
"Mar, 2004",0.0,0.0,0.4,2.4,15.8
"Apr, 2004",0.0,0.0,0.2,3.2,11.0
"May, 2004",0.0,0.0,0.2,3.3,22.0
"Jun, 2004",0.0,0.0,0.0,1.2,30.8
"Jul, 2004",0.0,0.0,0.0,2.6,28.0
"Aug, 2004",0.0,0.0,0.0,1.2,21.0
"Sep, 2004",0.0,0.0,0.0,0.0,16.8
"Oct, 2004",0.0,0.0,0.0,0.6,12.6
"Nov, 2004",0.0,0.0,0.0,1.6,16.4
"Dec, 2004",0.0,0.0,0.4,3.5,19.2
"Jan, 2005",0.0,0.0,0.0,0.0,0.0
