Date,precipitation,avg_hourly_pressure_station,avg_hourly_wind_speed,max_wind_speed,avg_hourly_temperature,max_temperature,min_temperature
1986-08-22,0.0,100.37,10.75,17,17.25,20.8,11.4
1986-08-23,5.5,99.07,17.17,39,18.3,23.7,13.9
1986-08-24,0.4,99.5,19.54,37,16.02,21.2,9.7
1986-08-25,0.0,99.82,7.54,13,16.49,23.4,8.4
1986-08-26,71.6,99.2,9.83,20,20.07,26.4,13.5
1986-08-27,0.4,98.98,25.0,35,14.78,19.4,7.5
1986-08-28,0.2,99.81,16.38,41,9.59,16.3,4.1
1986-08-29,0.0,100.4,10.96,19,12.34,19.9,4.8
1986-08-30,0.0,100.59,9.04,20,14.7,22.4,6.7
1986-08-31,0.0,100.57,6.0,11,15.22,22.3,6.7
1986-09-01,0.0,100.18,5.75,15,16.13,23.8,7.3
1986-09-02,0.0,100.11,4.25,15,18.23,25.3,10.4
1986-09-03,0.0,100.05,9.33,17,18.93,23.1,15.4
1986-09-04,22.6,99.19,14.88,28,20.89,25.3,16.9
1986-09-05,0.0,99.0,11.54,28,18.09,23.2,11.7
1986-09-06,0.0,99.47,13.42,20,13.25,18.4,8.4
1986-09-07,0.0,99.77,11.21,24,9.78,15.8,4.1
1986-09-08,0.0,99.97,10.54,24,11.48,19.3,2.6
1986-09-09,0.0,100.11,9.75,22,15.43,22.2,7.8
1986-09-10,63.1,99.41,6.67,20,16.08,19.5,13.2
1986-09-11,10.8,98.37,18.17,31,20.66,23.3,17.8
1986-09-12,2.4,98.49,20.5,35,16.04,19.9,8.3
1986-09-13,0.2,99.85,16.0,35,12.37,20.5,6.3
1986-09-14,0.0,100.55,7.67,19,9.7,16.8,2.5
1986-09-15,17.9,100.18,9.92,28,8.14,10.6,2.9
1986-09-16,0.0,100.75,15.0,26,7.35,12.8,2.4
1986-09-17,0.0,100.79,8.88,17,9.03,14.5,2.4
1986-09-18,0.0,99.93,6.21,11,12.99,17.8,7.3
1986-09-19,0.0,100.15,5.88,11,15.68,18.8,12.7
1986-09-20,12.7,99.98,8.25,15,14.59,15.7,12.2
1986-09-21,0.0,100.47,4.58,9,13.4,17.4,11.2
1986-09-22,6.6,99.65,5.67,15,13.36,15.1,11.0
1986-09-23,8.4,98.65,8.62,17,17.41,22.6,13.0
1986-09-24,0.0,98.95,6.58,19,16.97,24.1,10.4
1986-09-25,0.0,99.52,6.08,11,15.1,19.2,9.6
1986-09-26,8.8,99.48,6.67,19,17.88,21.5,14.8
1986-09-27,0.0,99.84,16.46,26,13.49,16.2,12.2
1986-09-28,0.0,99.91,3.75,7,14.87,17.0,12.7
