Date,ObservedsfcWindmax,ModelsfcWindmax
1987-08-30,31,31.5375804
1987-08-31,31,36.224701200000005
1987-09-01,35,21.17532708
1987-09-02,22,28.918249199999998
1987-09-03,19,31.135550399999996
1987-09-04,19,21.66510096
1987-09-05,19,16.518018240000004
1987-09-06,17,19.7566092
1987-09-07,15,30.899465999999997
1987-09-08,13,22.73480532
1987-09-09,22,26.74327536
1987-09-10,17,24.17297904
1987-09-11,26,35.016001200000005
1987-09-12,11,27.9472896
1987-09-13,17,23.236731
1987-09-14,17,25.022707200000006
1987-09-15,15,18.399891600000004
1987-09-16,11,27.052077600000004
1987-09-17,28,31.648813200000006
1987-09-18,19,17.524180800000003
1987-09-19,20,25.16891904
1987-09-20,15,29.083766400000005
1987-09-21,19,21.9731292
1987-09-22,15,16.72454412
1987-09-23,35,32.975913600000005
1987-09-24,22,47.3713416
1987-09-25,26,14.46164532
1987-09-26,28,18.749018520000003
1987-09-27,24,24.81280739999999
1987-09-28,15,18.7319016
1987-09-29,26,16.830910799999998
1987-09-30,39,25.720632000000002
1987-10-01,24,27.550403999999997
1987-10-02,35,20.43288468
1987-10-03,37,18.98965548
1987-10-04,28,21.535110000000003
1987-10-05,24,15.492475440000002
1987-10-06,24,27.5995548
1987-10-07,28,18.449712
1987-10-08,31,15.936775199999998
1987-10-09,37,13.58421552
1987-10-10,22,15.4661112
1987-10-11,11,26.62075728
1987-10-12,20,15.70395024
1987-10-13,15,34.601003999999996
1987-10-14,28,32.785992
1987-10-15,9,21.022611840000003
1987-10-16,15,18.14256468
1987-10-17,20,16.687508400000006
1987-10-18,24,15.24402108
1987-10-19,20,17.18401104
1987-10-20,24,35.511821999999995
1987-10-21,15,28.12799052
1987-10-22,20,18.15875748
1987-10-23,28,32.952326400000004
1987-10-24,31,40.2326442
1987-10-25,31,30.814156800000003
1987-10-26,11,34.4331612
1987-10-27,24,41.9431248
1987-10-28,22,38.4221052
1987-10-29,22,46.207213200000005
1987-10-30,22,32.5774476
1987-10-31,15,17.982013320000007
1987-11-01,11,31.5123912
1987-11-02,19,19.809003600000004
1987-11-03,22,17.864562600000006
1987-11-04,39,46.1454444
1987-11-05,41,44.6009508
1987-11-06,31,21.345082920000007
1987-11-07,30,27.777667320000006
1987-11-08,17,57.91331520000001
1987-11-09,33,36.2183976
1987-11-10,24,34.022051999999995
1987-11-11,15,21.12782148
1987-11-12,19,23.7273516
1987-11-13,24,26.41761144
1987-11-14,20,22.04554536
1987-11-15,17,27.689396400000003
1987-11-16,13,26.875155600000006
1987-11-17,35,25.61082696
1987-11-18,37,22.115775600000003
1987-11-19,43,18.07357068
1987-11-20,37,34.408508399999995
1987-11-21,28,52.524494999999995
1987-11-22,20,62.20935
1987-11-23,26,28.1238894
1987-11-24,24,27.3060828
