Date,Observedtas,Modeltas,Bias
1987-01-17,-6.42,1.4806500000000256,7.9006500000000255
1987-01-18,-2.4,6.396570000000054,8.796570000000054
1987-01-19,-6.97,0.8113299999999981,7.781329999999998
1987-01-20,-9.38,-2.547999999999945,6.832000000000056
1987-01-21,-5.97,-3.5772999999999797,2.39270000000002
1987-01-22,-3.23,-1.935679999999934,1.294320000000066
1987-01-23,-11.07,0.4728600000000256,11.542860000000026
1987-01-24,-15.13,0.16467000000005785,15.294670000000059
1987-01-25,-12.15,0.2851800000000253,12.435180000000026
1987-01-26,-13.93,1.3762500000000273,15.306250000000027
1987-01-27,-10.09,-0.05124999999998181,10.038750000000018
1987-01-28,-6.2,-4.258899999999983,1.9411000000000174
1987-01-29,-4.6,-6.235139999999943,-1.635139999999943
1987-01-30,-0.97,-5.5069299999999535,-4.536929999999954
1987-01-31,-5.47,-3.67614999999995,1.7938500000000497
1987-02-01,-2.25,-3.094849999999952,-0.8448499999999521
1987-02-02,0.93,-1.5965600000000109,-2.526560000000011
1987-02-03,0.73,-2.47927999999996,-3.20927999999996
1987-02-04,-3.55,0.242999999999995,3.792999999999995
1987-02-05,-6.18,4.2474000000000265,10.427400000000027
1987-02-06,-1.43,2.9926700000000324,4.422670000000032
1987-02-07,0.81,-1.4766599999999812,-2.2866599999999813
1987-02-08,-3.35,0.03964000000001988,3.38964000000002
1987-02-09,-11.62,-1.9797999999999547,9.640200000000045
1987-02-10,-3.52,0.5955000000000155,4.115500000000015
1987-02-11,-4.53,3.210050000000024,7.740050000000024
1987-02-12,-3.52,6.312740000000019,9.832740000000019
1987-02-13,-12.89,7.015100000000018,19.90510000000002
1987-02-14,-15.53,1.5805300000000102,17.11053000000001
1987-02-15,-18.71,0.2629000000000019,18.972900000000003
1987-02-16,-16.02,1.9862299999999773,18.006229999999977
1987-02-17,-8.66,4.3241500000000315,12.984150000000032
1987-02-18,-7.15,4.839720000000057,11.989720000000057
1987-02-19,-5.73,3.6440000000000623,9.374000000000063
1987-02-20,-4.66,8.139979999999982,12.799979999999982
1987-02-21,-3.57,0.4007200000000353,3.970720000000035
1987-02-22,-1.57,-2.731119999999976,-1.1611199999999757
1987-02-23,-1.12,-10.875159999999996,-9.755159999999997
1987-02-24,-4.47,-1.786799999999971,2.6832000000000287
1987-02-25,-4.92,-5.015719999999988,-0.09571999999998848
1987-02-26,-3.67,-7.1475999999999535,-3.4775999999999536
1987-02-27,-1.86,-10.916719999999998,-9.056719999999999
1987-02-28,0.78,-16.404149999999962,-17.184149999999963
1987-03-01,2.55,-6.323699999999974,-8.873699999999975
1987-03-02,0.22,-5.531439999999975,-5.751439999999975
1987-03-03,-4.56,-3.9178200000000074,0.6421799999999922
1987-03-04,-4.59,0.4144500000000448,5.004450000000045
1987-03-05,-1.99,-4.8176599999999885,-2.8276599999999883
1987-03-06,3.42,-6.005679999999982,-9.425679999999982
1987-03-07,9.04,-6.1852799999999775,-15.225279999999977
1987-03-08,8.3,-7.930239999999969,-16.23023999999997
1987-03-09,-5.73,1.4580600000000459,7.188060000000046
1987-03-10,-10.23,-0.9360999999999536,9.293900000000047
1987-03-11,-6.01,3.7141000000000304,9.72410000000003
1987-03-12,-2.84,0.3135300000000143,3.153530000000014
1987-03-13,-2.52,3.6413500000000445,6.161350000000045
1987-03-14,-2.46,10.222560000000042,12.682560000000041
1987-03-15,-1.69,6.9868000000000166,8.676800000000016
1987-03-16,-1.18,0.253750000000025,1.433750000000025
1987-03-17,0.4,-2.1020999999999503,-2.5020999999999503
1987-03-18,1.49,-2.298249999999996,-3.788249999999996
1987-03-19,2.36,0.7929300000000126,-1.5670699999999873
1987-03-20,3.26,-3.972999999999956,-7.232999999999956
1987-03-21,3.56,-9.281259999999977,-12.841259999999977
1987-03-22,6.38,-2.784370000000024,-9.164370000000023
1987-03-23,7.4,8.307279999999992,0.9072799999999912
1987-03-24,8.36,13.364160000000027,5.004160000000027
1987-03-25,7.53,8.773370000000114,1.2433700000001133
1987-03-26,6.75,9.876860000000024,3.1268600000000237
1987-03-27,7.1,5.6838600000000365,-1.416139999999963
1987-03-28,7.72,9.633170000000119,1.913170000000119
1987-03-29,9.02,5.0701799999999935,-3.949820000000006
1987-03-30,4.63,4.554860000000018,-0.07513999999998155
1987-03-31,-4.22,3.086300000000051,7.306300000000051
1987-04-01,-1.28,7.165370000000053,8.445370000000052
1987-04-02,0.98,11.458829999999919,10.478829999999919
1987-04-03,-0.31,7.210720000000037,7.520720000000036
1987-04-04,2.34,8.424220000000048,6.084220000000048
1987-04-05,7.81,7.768329999999992,-0.04167000000000787
1987-04-06,9.09,7.899350000000028,-1.1906499999999722
1987-04-07,9.42,8.018000000000029,-1.4019999999999708
1987-04-08,6.01,8.317000000000009,2.3070000000000093
1987-04-09,8.73,7.729150000000002,-1.000849999999998
1987-04-10,12.96,6.403830000000028,-6.556169999999973
1987-04-11,10.65,5.292660000000012,-5.357339999999988
1987-04-12,7.61,4.771140000000003,-2.8388599999999977
1987-04-13,9.32,4.375800000000027,-4.944199999999974
1987-04-14,10.5,5.7589700000000335,-4.7410299999999665
1987-04-15,12.11,7.0780300000000125,-5.031969999999987
1987-04-16,10.58,7.094000000000051,-3.485999999999949
1987-04-17,11.58,8.859770000000026,-2.720229999999974
1987-04-18,12.93,8.521020000000021,-4.408979999999978
1987-04-19,16.03,8.426400000000001,-7.6036
1987-04-20,17.34,8.28060000000005,-9.05939999999995
1987-04-21,16.69,11.1481,-5.541900000000002
1987-04-22,9.06,13.41967000000011,4.35967000000011
1987-04-23,12.05,14.245420000000026,2.1954200000000252
1987-04-24,8.57,12.77102000000002,4.201020000000019
1987-04-25,7.0,13.16210000000001,6.1621000000000095
1987-04-26,10.2,14.89247999999992,4.69247999999992
1987-04-27,7.41,8.517479999999921,1.1074799999999208
1987-04-28,5.1,4.886000000000023,-0.21399999999997643
1987-04-29,8.43,8.313300000000027,-0.11669999999997316
1987-04-30,5.65,12.346120000000045,6.696120000000045
1987-05-01,8.62,6.718870000000037,-1.901129999999962
1987-05-02,8.59,3.9652600000000575,-4.624739999999942
1987-05-03,6.47,7.789580000000001,1.319580000000001
1987-05-04,6.79,8.31800000000004,1.5280000000000404
1987-05-05,10.76,6.496060000000057,-4.263939999999943
1987-05-06,14.28,10.774470000000123,-3.505529999999876
1987-05-07,10.85,16.367800000000045,5.517800000000046
1987-05-08,10.37,8.850460000000114,-1.5195399999998855
1987-05-09,18.35,7.700460000000023,-10.649539999999979
1987-05-10,19.03,9.928400000000009,-9.101599999999992
1987-05-11,19.08,9.831960000000038,-9.24803999999996
1987-05-12,10.85,9.543479999999988,-1.3065200000000114
1987-05-13,10.96,9.444270000000015,-1.5157299999999854
1987-05-14,17.51,10.782920000000047,-6.727079999999955
